company,location,salary,title
"

        DELL","Austin, TX",Unknown,Data Scientist Product Manager
"
        TechnologyAdvice","Nashville, TN",Unknown,Data Scientist
"

        TXU Energy","Irving, TX",Unknown,Advanced Analytics - Data Scientist
"

        UCLA Health","Los Angeles, CA",Unknown,Data Scientist
"

        Cognizant Technology Solutions","Plano, TX",Unknown,Master Data Scientist - TX
"
        Equinox Consulting Partners LLC","Richmond, VA",Unknown,Data Scientist
"
        Valsatechcorp Template",United States,Unknown,Data Scientist
"

        A2Z Development Center, Inc.","Seattle, WA",Unknown,Data Scientist
"
        InfoObjects Inc","El Segundo, CA",Unknown,Data Scientist Locals Only
"

        SAP","Chicago, IL",Unknown,SAP Fieldglass - Data Scientist
"

        United Airlines Inc.","Chicago, IL",Unknown,Senior Data Analyst - IT
"

        Fast Switch","Cambridge, MA",Unknown,Junior Data Scientist - People Analytics
"

        KPMG","Irvine, CA",Unknown,Associate - Data & Analytics Modeler
"

        AccruePartners","Winston-Salem, NC",Unknown,Data Scientist
"

        iCIMS","Holmdel, NJ",Unknown,Data Scientist
"

        Chubb","Jersey City, NJ",Unknown,Jr. Data Scientist - Technology Associate Program
"

        Walmart","Sunnyvale, CA",Unknown,Campus Recruiting: Full Time Data Scientist/Data Analytics (Data Analyst 2 - Ecomm)
"

        Abercrombie and Fitch Co.","Columbus, OH",Unknown,Data Scientist
"

        Codecademy","New York, NY",Unknown,"Data Scientist, Analytics & Inference"
"

        American Express",United States,Unknown,Campus Recruitment - 2020 Finance Data Science Summer Internship
"

        Government of the District of Columbia","Washington, DC","


                            $76,126 - $97,375 a year

",Data Scientist
"

        Twitter",United States,Unknown,Machine Learning Sourcer (San Francisco or Remote)
"
        Asics Digital","Boston, MA",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,"Data Scientist, Ad Platforms"
"

        Moody's Investors Service","New York, NY",Unknown,Data Scientist
"
        Law Dawgs","Seattle, WA",Unknown,In-House Data Privacy Counsel
"

        Peraton","Chantilly, VA",Unknown,Data Scientist Technical Specialist
"

        CubeSmart","Malvern, PA",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Senior Data Scientist
"

        TD Ameritrade","Denver, CO",Unknown,Senior Data Science Analyst
"

        KPMG","Chicago, IL",Unknown,Associate - Data & Analytics Modeler
"
        Deep 6 AI","Pasadena, CA",Unknown,Data Scientist
"

        Google","Seattle, WA",Unknown,"Product Analyst, Data Science"
"

        Macy's","Johns Creek, GA",Unknown,Associate Data Scientist
"

        Snapchat","Los Angeles, CA",Unknown,"Data Scientist, Snap Games"
"

        Walmart eCommerce","Conway, AR",Unknown,Data Scientist
"
        Fabuwood Cabinetry Corp.",New Jersey,Unknown,Data Scientist
"

        Best Buy","Watertown, MA",Unknown,Data Scientist
"

        DELL","Austin, TX",Unknown,"Senior Data Scientist - Big Data, AI"
"
        Techcyte",United States,Unknown,Applied Data Scientist
"

        Strata Decision Technology, L.L.C.","Chicago, IL",Unknown,Data Scientist
"

        Strata Decision Technology","Chicago, IL",Unknown,Data Scientist
"

        StataCorp","College Station, TX",Unknown,"Senior Statistician, Educational Services"
"

        Auto Club of Southern California","Costa Mesa, CA",Unknown,Data Scientist Lead
"

        Vaco","Nashville, TN","


                            $145,000 a year

",$130K-$145K | Data Scientist | Contract-Hire | Some Remote Work
"

        Softchoice","Atlanta, GA",Unknown,Data Architect
"
        NeuroSoph","Boston, MA",Unknown,Data Scientist
"

        Sanofi","Cambridge, MA",Unknown,Scientist Deep Data Analytics
"

        Snapchat","New York, NY",Unknown,Product Data Scientist
"
        Branch International","San Francisco, CA",Unknown,Data Scientist
"
        Clarigent Health","Mason, OH","


                            $90,000 - $120,000 a year

",Data Scientist
"

        Roku","Santa Monica, CA",Unknown,Data Scientist
"

        Macro Solutions","Tampa, FL",Unknown,Data Scientist
"

        Auriga Polymers Inc.",United States,Unknown,Data Scientist
"
Data and Analytic Solutions, Inc. (DAS)",United States,Unknown,DATA SCIENTIST
"

        Nielsen","Tampa, FL",Unknown,Data Scientist
"

        Mphasis",United States,Unknown,Data Science Specialist USA
"

        Jobot","Austin, TX","


                            $130,000 - $170,000 a year

",Sales Engineer - Data Science
"

        CVS Health","New York, NY",Unknown,Data Science Internship (Graduate)
"

        TD Ameritrade","Southlake, TX",Unknown,Senior Data Science Analyst
"

        Onco360","Louisville, KY",Unknown,Senior Data Analyst
"

        Buckman","Memphis, TN",Unknown,Data Scientist
"
        NextQA, Inc","Woodlawn, MD","


                            $55 - $65 an hour

",Data Scientist
"
        Adwait Algorithm LLP","Dallas, TX",Unknown,Sr. Data Scientist
"

        Cottonwood Financial","Irving, TX","


                            $74,000 a year

",Data Scientist
"
        Next Level Resources","Hartford, CT",Unknown,Data Scientist
"
        Scratch Financial Inc.","Pasadena, CA",Unknown,Data Scientist
"

        CITIZENS BANK","Columbus, OH",Unknown,Data Scientist
"
        Capax Global LLC","Chicago, IL",Unknown,Data Scientist
"

        Tyson Foods","Springdale, AR",Unknown,Data Scientist
"
        BICP","San Francisco, CA",Unknown,Data Scientist
"
        ASICS Digital","Boston, MA",Unknown,Data Scientist
"
        TMC North America","New York, NY","


                            $90,000 - $120,000 a year

",Senior Data Analyst
"
        Plantek Consulting","Juno Beach, FL",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"
        HVH Precision Analytics","New York, NY",Unknown,Senior Data Scientist
"

        Facebook","Redmond, WA",Unknown,Research Scientist - Data and Statistics
"

        Goldman Sachs","New York, NY",Unknown,GS Data Scientist
"

        Dropbox","San Francisco, CA",Unknown,People Data Scientist
"
        Inspire11","Chicago, IL",Unknown,Data Scientist
"

        Evolent Health","Chicago, IL",Unknown,(Entry-Level) Data Scientist
"

        The Climate Corporation","Seattle, WA",Unknown,Data Scientist - Deep Learning
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics - Instagram ML"
"

        American Family Insurance","Chicago, IL",Unknown,Data Scientist
"

        JPMorgan Chase & Co.","Columbus, OH",Unknown,"Data Scientist Associate, Workforce Analytics"
"

        Cubic Corporation","Austin, TX",Unknown,Data Scientist
"
        Pansophic Learning","McLean, VA",Unknown,Senior Data Scientist
"

        Vanguard","Malvern, PA",Unknown,Principal Data Scientist
"

        SquareSpace","New York, NY",Unknown,"Data Scientist, Customer Operations"
"

        The Travelers Companies, Inc.","Hartford, CT",Unknown,Machine Learning Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Wells Fargo","Dallas, TX",Unknown,NLP Data Scientist /Analytic Consultant 4
"

        Humana","Boston, MA",Unknown,Lead Data Scientist - Deep Learning
"

        Hive","San Francisco, CA",Unknown,Data Scientist
"

        CACI","Chantilly, VA",Unknown,Data Scientist
"

        Ticketmaster","Hollywood, CA",Unknown,"Intern, Data Science (Summer 2020)"
"
        AnswerIQ","Bellevue, WA",Unknown,Data/NLP Scientist
"

        University of Pennsylvania","Philadelphia, PA",Unknown,Data Scientist
"
        eTek IT Service","Bradenton, FL","


                            $135,000 - $140,000 a year

",Data Scientist
"
        Capital Lighting Fixture Company","Flowery Branch, GA",Unknown,Data Scientist
"

        The Home Depot","Atlanta, GA",Unknown,"Data Scientist, Online"
"
        WorkBoard","Portland, OR",Unknown,Data Scientist
Unknown,"Albany, OR",Unknown,Geology/Geo-Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $70,519 - $87,868 a year

",Mathematician
"

        Collins Aerospace","Winston-Salem, NC",Unknown,"Architect, Data Analytics"
"

        Crossix Solutions","New York, NY",Unknown,Data Scientist
"

        ECLIPSE GAMING SYSTEMS","Atlanta, GA",Unknown,Sr. Data Analyst
"

        TD Ameritrade","Omaha, NE",Unknown,Senior Data Science Analyst
"

        Premier Staffing Partners","Knoxville, TN",Unknown,Vice President of Data Science and Analytics
"
        TEKbasic Technologies",New Jersey,"


                            $50,000 - $55,000 a year

",Python / Machine Learning (ML) Engineer (Junior Level)
"

        Battelle","Columbus, OH",Unknown,Data Scientist II
"
        Huobi","Sunnyvale, CA",Unknown,Data Scientist
"

        Cerner Corporation","Kansas City, MO",Unknown,Data Scientist
"
        LVIS Corporation","Palo Alto, CA",Unknown,Data Scientist
"

        3M","Maplewood, MN",Unknown,"Data Scientist (Maplewood, MN)"
"

        SAIC","Offutt AFB, NE",Unknown,Data Scientist
"
        Precision technologies corp","Monmouth Junction, NJ","


                            $55,000 - $65,000 a year

",Data Analyst/Data Scientist
"

        Facebook","San Francisco, CA",Unknown,"Data Scientist, Legal"
"

        Macmillan","New York, NY",Unknown,Associate Data Scientist
"

        ShaleApps","Denver, CO",Unknown,Data Scientist – Logistics Optimization Algorithms
"

        Verizon","Alpharetta, GA",Unknown,Data Scientist – Predictive & Prescriptive Analytics
"
        Teqweave Solutions","Charlotte, NC","


                            $60 - $75 an hour

",SR Data Analyst with strong hadoop
"
        AWM Smart Shelf (Adroit Worldwide Media, Inc.)","Aliso Viejo, CA","


                            $110,000 - $140,000 a year

",Computer Vision Engineer
"
        STRIVR","Menlo Park, CA",Unknown,Senior Data Scientist
"
        1000bulbs.com","Garland, TX","


                            $70,000 - $90,000 a year

",Senior Data Analyst / Data Scientist / Tableau Developer
"

        Banner Health","Tucson, AZ",Unknown,Data Scientist
"

        Epic Games","San Diego, CA",Unknown,Data Scientist
"
        Primesys Technologies","South Plainfield, NJ",Unknown,Data Scientist
"

        Micron","San Jose, CA",Unknown,Data Scientist
"

        Amazon Web Services, Inc.",United States,Unknown,PSG - Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Data Engineer / Scientist (Spark + AI 2019)
"
        Spin Electric Scooters","San Francisco, CA",Unknown,Data Scientist
"

        AstraZeneca",Massachusetts,Unknown,Data Scientist - Chemical Synthesis
"

        Sutter Health","San Francisco, CA",Unknown,Data Scientist
"
        Envision LLC","St. Louis, MO",Unknown,"Data Scientist - Python, CPLEX"
"

        Jobot","New York, NY","


                            $140,000 - $200,000 a year

",Principal Data Scientist
"

        Spotify","New York, NY",Unknown,"Data Scientist, Forecasting"
"

        Lawrence Livermore National Laboratory","Livermore, CA",Unknown,Data Scientist
"

        Civis Analytics","Houston, TX",Unknown,"Applied Data Scientist, Government"
"

        Walmart","Bentonville, AR",Unknown,Principal Data Scientist
"
        OneSource IT, Inc.","Reston, VA","


                            $130,000 - $150,000 a year

",Data Scientist
"
        ELT Solutions","San Jose, CA",Unknown,Data Scientist
"
        Grid Dynamics","Atlanta, GA",Unknown,Data Scientist
"

        PADI",California,Unknown,Data Scientist
"

        Oshkosh Corporation","Oshkosh, WI",Unknown,Data Scientist/Analyst
"

        The Climate Corporation","St. Louis, MO",Unknown,Data Scientist - Statistics
"

        Nuance","Burlington, MA",Unknown,Sr. Data Scientist
"
        LSQ","Orlando, FL",Unknown,Data Scientist - Risk
"

        CenturyLink","Broomfield, CO",Unknown,Senior Data Scientist
"

        CSG","Greenwood Village, CO",Unknown,Data Scientist
"
        G-Research","New York, NY",Unknown,"Internship in Quantitative Research (Data Science, Machine Learning, Mathematical Modelling)"
"
        Black Sesame Technologies Inc","Santa Clara, CA",Unknown,(Senior) Deep Learning Engineer
"

        Dynetics","Huntsville, AL",Unknown,Data Scientist for Aerospace Applications
"

        Allstate","Bothell, WA",Unknown,Senior Data Scientist - Experimental Design
"
        C3.ai","Redwood City, CA",Unknown,Data Scientist – Intern (Summer 2020)
"

        Amazon.com Services, Inc.","Seattle, WA",Unknown,"Data Scientist, Advertising"
"

        Jet.com","Hoboken, NJ",Unknown,Data Scientist - Customer Analytics
"

        SunTrust","Charlotte, NC",Unknown,Data Scientist
"
        Salford Systems","San Diego, CA",Unknown,Data Scientist
"

        WPX Energy","Tulsa, OK",Unknown,Data Engineer-Scientist
"

        Les Schwab Tires","Bend, OR",Unknown,Data Scientist I
"

        Bosch Group","Sunnyvale, CA",Unknown,Data Scientist - Optimization
"
        Invent Analytics","Philadelphia, PA",Unknown,Junior Data Scientist
"

        Capital One - US","San Francisco, CA",Unknown,"Data Scientist, Marketing"
"

        Addison Group","Chicago, IL",Unknown,Sr. Data Analyst
"
        HVH Precision Analytics","Washington, DC",Unknown,Senior Data Scientist
"

        Allstate","Chicago, IL",Unknown,D3 - Geospatial Data Scientist
"

        Tapingo",United States,Unknown,Data Scientist
"

        Heartland","Edmond, OK",Unknown,Data Scientist - Intern
"
        Athenium Analytics","Dover, NH",Unknown,NLP Data Scientist
"
        Datatron Technologies","Los Altos, CA",Unknown,Data Scientist / ML Engineer
"

        AstraZeneca",Massachusetts,Unknown,Data Scientist - Material and Formulation Science
"

        Clarivate Analytics","San Francisco, CA",Unknown,Data Scientist
"
        Conversion Logic","Los Angeles, CA",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Siri Search and Knowledge - Measurement Data Scientist
"
        Sensor Tower","San Francisco, CA",Unknown,Data Scientist
"

        Southern California Edison","Rosemead, CA",Unknown,Data Scientist – Organizational Performance
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        AccruePartners","Fort Mill, SC",Unknown,Data Scientist
"

        CenturyLink","Broomfield, CO",Unknown,Senior Data Scientist
"

        KPMG","Washington, DC",Unknown,"Associate, Data & Analytics Modeler Machine Learning - FS"
"

        Eagle Ray Inc",United States,Unknown,Data Scientist
"

        UPMC","Pittsburgh, PA","


                            $37.40 an hour

",Data Scientist - Health Economics
"

        Codecademy","New York, NY",Unknown,"Data Scientist, Growth & Experimentation"
"
        Clicktripz","Manhattan Beach, CA",Unknown,Data Scientist
"

        Ranker","Los Angeles, CA",Unknown,Data Scientist
"
        Outreach","Seattle, WA",Unknown,Data Scientist
"

        Inside Real Estate","Draper, UT",Unknown,Data Scientist
"
        BUSINESS INTEGRA, INC","Santa Clara, CA","


                            $60 - $70 an hour

",Data Scientist
"

        Miles","Redwood City, CA",Unknown,Data Scientist
"

        Amazon.com Services, Inc.","Seattle, WA",Unknown,"Data Scientist, Alexa Excellence"
"

        CVS Health","New York, NY",Unknown,Data Science Internship (Undergraduate)
"

        Wells Fargo","Irving, TX",Unknown,NLP Data Scientist /Analytic Consultant 4
"
        Eclipse Gaming Systems","Atlanta, GA",Unknown,Sr. Data Analyst
"
        #twiceasnice Recruiting","Los Angeles, CA",Unknown,Data Scientist
"

        Bill.Com","Palo Alto, CA",Unknown,Risk Data Scientist
"
        HVH Precision Analytics","Wayne, PA",Unknown,Senior Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Grainger","Lake Forest, IL",Unknown,Sr Data Scientist
"

        Spotify","New York, NY",Unknown,Data Scientist – Personalization
"
        Codazen","Salt Lake City, UT","


                            $30 - $35 an hour

",Data Scientist in Applied Artificial Intelligence
"
        Aurora Tech","San Francisco, CA",Unknown,Data Scientist
"
        Inscopix, Inc.","Palo Alto, CA",Unknown,Data Scientist
"

        Hertz","Estero, FL",Unknown,Data Scientist
"
        Relayr","Chicago, IL",Unknown,Data Scientist - IoT (Chicago)
"

        LexisNexis","Raleigh, NC",Unknown,Data Scientist I
"

        Nelnet","Lincoln, NE",Unknown,Data Scientist I
"

        Apple","Santa Clara Valley, CA",Unknown,Data Scientist - Applied Machine Learning
"

        KPMG","Dallas, TX",Unknown,"Sr. Associate, Data Scientist"
"

        Nestle USA","Solon, OH",Unknown,Statistical Modeling & Forecasting Scientist
"

        TARGET","Minneapolis, MN",Unknown,Lead Data Scientist - Merch Pricing/Promotions
"

        Starbucks","Seattle, WA",Unknown,"data scientist, Econometrician- Marketing Operations- Seattle, WA"
"
        Gro Intelligence","New York, NY",Unknown,Data Scientist
"

        Klaviyo","Boston, MA",Unknown,Data Scientist
"

        Jet.com","Hoboken, NJ",Unknown,Data Scientist – Customer Science
"

        Premise","Washington, DC",Unknown,Geospatial Data Scientist
"

        Amgen","Thousand Oaks, CA",Unknown,Data and Machine Learning Scientist
"
        ClassDojo","San Francisco, CA",Unknown,Data Scientist
"
        Tron","San Francisco, CA",Unknown,"Data Scientist, BitTorrent Speed"
"

        Invitae","San Francisco, CA",Unknown,Bioinformatics Data Scientist
"

        The Step2 Company","Streetsboro, OH",Unknown,Data Scientist
"

        Ally Financial Inc.","Charlotte, NC",Unknown,"Associate Data Scientist, Consumer Analytics"
"

        Verizon","Alpharetta, GA",Unknown,Manager Data Scientist
"

        ECLIPSE GAMING SYSTEMS","Atlanta, GA",Unknown,Sr. Data Analyst
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        FIS Global","San Diego, CA",Unknown,Senior Data Analyst
"
        Spacemaker","Boston, MA",Unknown,"Data Scientist, Boston"
"

        Flexential","Denver, CO",Unknown,Marketing Data Scientist
"

        Pluralsight","Boston, MA",Unknown,Data Scientist
"

        Centers for Disease Control and Prevention","Atlanta, GA","


                            $93,282 - $121,264 a year

",Computer Scientist (Data Scientist)
"
        Architecture Technology Corporation (ATCorp)","San Jose, CA","


                            $80,000 - $150,000 a year

",Data Scientist
"

        Egencia","Bellevue, WA",Unknown,Data Scientist
"

        Anthem, Inc.",United States,Unknown,AI Senior Data Scientist
"

        Mode","San Francisco, CA",Unknown,Data Scientist
"

        Venmo","New York, NY",Unknown,"Data Scientist, Analytics"
"
        Course5 Intelligence","Plano, TX",Unknown,Data Scientist
"

        CVS Health","Woonsocket, RI",Unknown,"Analytics, Data Scientist (IDS EVG)"
"

        Slice","San Mateo, CA",Unknown,Data Scientist / Machine Learning Engineer - Information Extraction
"

        Verizon","Denver, CO",Unknown,Data Scientist
"
        Credit Sesame","San Francisco, CA",Unknown,Data Scientist
"

        Wells Fargo","Dallas, TX",Unknown,Sr. Data Scientist / Analytic Consultant 5
"

        TARGET","Minneapolis, MN",Unknown,Sr. Data Scientist Leadership Program (DSLP)
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Plaid","San Francisco, CA",Unknown,Data Scientist
"
        Tynker","Mountain View, CA",Unknown,Data Scientist
"

        The Climate Corporation","St. Louis, MO",Unknown,Data Scientist - Spatial Statistics
"

        Jellyfish","Baltimore, MD",Unknown,Data Scientist
"

        Hilton Grand Vacations (HGV)","Orlando, FL",Unknown,Data Scientist for Information Management & Analytics
"

        GM Financial","Fort Worth, TX",Unknown,Sr Data Scientist
"

        Purchasing Power","Atlanta, GA",Unknown,Data (Decision) Scientist
"
        Sportradar AG","Menlo Park, CA",Unknown,Data Scientist
"

        HP","Aguadilla, PR",Unknown,Data Scientist
"
        Qualia Investments","New York, NY","


                            $100,000 - $135,000 a year

",Data Scientist
"

        Liberty Personnel Services","Fremont, CA","


                            $90,000 - $125,000 a year

",Data Scientist
"
        Envision LLC","St. Louis, MO",Unknown,Data Scientist w/ Python Development
"

        Liberty Mutual Insurance","Boston, MA","


                            $117,400 - $152,000 a year

","Director I, Data Science"
"

        AccruePartners","Winston-Salem, NC",Unknown,Data Scientist
"

        Opendoor","San Francisco, CA",Unknown,Data Scientist (Analytics)
"

        eCornell","Ithaca, NY",Unknown,"Vertical Lead, Data Science"
"
        Fathom Health",Remote,Unknown,"Software Engineer, Machine Learning"
"
        Gayathri's Sandbox","Menlo Park, CA",Unknown,Data Scientist
"
        Ortec International USA Inc.","Atlanta, GA",Unknown,DATA SCIENTIST
"
        arsolinc","Jersey City, NJ",Unknown,Data Scientist
"
        King.com","San Francisco, CA",Unknown,Data Scientist
"

        Auto Club Group","Tampa, FL",Unknown,Data Scientist
"

        Allstate","Bothell, WA",Unknown,Data Scientist: Deep Learning & NLP
"

        Highmark Health","Pittsburgh, PA",Unknown,Associate Data Scientist
"

        Pivotal Software","New York, NY",Unknown,Data Scientist
"

        Amazon.com Services, Inc.","Seattle, WA",Unknown,"Data Scientist, Alexa Shopping"
"

        TD Ameritrade","Chicago, IL",Unknown,Senior Data Science Analyst
"

        New Visions for Public Schools","New York, NY","


                            $18 - $30 an hour

",Computer Science & Data Analytics Residency
"

        Analytic Recruiting","Evanston, IL",Unknown,Data Scientist
"

        Honor","San Francisco, CA",Unknown,Data Scientist
"

        Wells Fargo","San Francisco, CA",Unknown,NLP Data Scientist /Analytic Consultant 4
"

        Wayfair","Boston, MA",Unknown,PhD Data Science Immersion Program (January 6-10)
"

        Motif Investing","San Mateo, CA",Unknown,Motif Capital – Data Scientist
"

        Microsoft","Cambridge, MA",Unknown,MAIDAP Data Scientist- PhD Students and Recent Graduates
"

        Groupon, Inc.","Chicago, IL",Unknown,Data Scientist - Groupon Goods
"
        Antuit","Dallas, TX",Unknown,Data Scientist
"

        Nike","New York, NY",Unknown,Sr. Data Scientist
"
        Ancore","Franklin, TN",Unknown,Data Scientist
"
        Verdigris Technologies","Mountain View, CA",Unknown,Senior Data Scientist
"

        Change Research","Palo Alto, CA","


                            $90,000 - $150,000 a year

",Data Scientist - Natural Language Processing
"

        Reef Kitchens","Miami, FL",Unknown,Data Scientist - (Brickell)
"
        Advan Research Corporation","New York, NY",Unknown,Data Scientist
"
        Envision LLC","St. Louis, MO",Unknown,Data Scientist - Ph.D.
"
        Alliance Resource Group","Tustin, CA","


                            $90,000 - $130,000 a year

",Senior Healthcare Data Analyst or Manager - 90K-130K
"

        Battelle","Columbus, OH",Unknown,Data Scientist III
"

        National Security Agency","Fort Meade, MD","


                            $70,519 - $87,868 a year

",Mathematical Statistician
"

        Pactera","San Jose, CA",Unknown,Data Scientist
"
        Envision LLC","St. Louis, MO",Unknown,Intermediate Data Scientist
"

        Collins Aerospace","Cedar Rapids, IA",Unknown,Data Scientist Intern (Summer 2019)
"

        Pinnacol Assurance","Denver, CO",Unknown,Data Scientist
"

        Virta Health","San Francisco, CA",Unknown,Data Scientist
"

        Procter and Gamble","Cincinnati, OH",Unknown,Data Scientist-Masters
"

        Snapchat","New York, NY",Unknown,"Data Scientist, Perception"
"

        Virginia Mason Medical Center","Seattle, WA",Unknown,Clinical Data Scientist
"

        U.S. Xpress Enterprises, Inc.","Atlanta, GA",Unknown,Data Scientist
"

        Booz Allen Hamilton","Washington, DC",Unknown,Quantum Research Data Scientist
"
        AppZen","Tempe, AZ",Unknown,Junior Data Analyst
"

        ATI","Monroe, NC",Unknown,"Data Scientist, Engineer"
"

        STONE Resource Group","Alexandria, VA",Unknown,Data Scientist
"
        Golden Bear Sleep and Mood Research Clinic","Berkeley, CA",Unknown,Post-doc: Dissemination/implementation and/or data science and/or sleep research
"

        Navy Federal Credit Union","Vienna, VA",Unknown,Data Scientist (Predictive Modeler)
"

        TARGET","Minneapolis, MN",Unknown,Lead Data Scientist
"

        Verizon","Denver, CO",Unknown,Sr. Data Analyst
"

        avast software","Redwood City, CA",Unknown,Privacy Data Scientist
"
        Community Data Platforms","Nantucket, MA",Unknown,Data Guru/Scientist/Demographer
"

        Orange County Government","Orlando, FL","


                            $85,654 - $104,666 a year

",Data Scientist (Database Administrator)
"

        University of Wisconsin–Madison","Madison, WI",Unknown,DATA SCIENTIST- PROGRAMMER ANALYST
"

        Yelp","San Francisco, CA",Unknown,Data Scientist
"

        Slice","New York, NY",Unknown,Data Scientist
"

        Walmart","Sunnyvale, CA",Unknown,Staff Data Scientist - NLP
"

        Fareportal Inc.","New York, NY",Unknown,Junior Machine Learning Engineer / Data Scientist
"

        Visa","Bellevue, WA",Unknown,Chief Data Scientist
"

        Bowery Farming","New York, NY",Unknown,Data Scientist
"

        Revionics","Austin, TX",Unknown,Machine Learning Scientist
"

        Allegiant Travel Company","Las Vegas, NV",Unknown,Data Scientist II
"

        Procter & Gamble","Cincinnati, OH",Unknown,"R&D Statistician, PhD"
"

        Finastra","Norcross, GA",Unknown,Data Scientist and Computer Engineer
"

        KPMG","Austin, TX",Unknown,"Manager, Natural Language Processing Data Scientist"
"
        Plantek Consulting","New York, NY",Unknown,Data Scientist
"

        Liberty Mutual Insurance","Boston, MA","


                            $117,400 - $152,000 a year

","Assistant Director, Data Science"
"

        Manulife","Boston, MA",Unknown,Data Scientist
"

        MGM Resorts International","Las Vegas, NV",Unknown,Lead Data Scientist (Corporate)
"
        Gustaine","Orange, CA",Unknown,Data Scientist
"
        Kayrros","Houston, TX",Unknown,Data Scientist M/F - Houston Office
"

        Optimal","Dearborn, MI",Unknown,Data Scientist Analyst
"

        Facebook","Menlo Park, CA",Unknown,"Data Scientist, Auction & Delivery Intern"
"

        Bosch Group","Florence, KY",Unknown,Data Mining Co-Op Spring 2020
"
        Centare","Milwaukee, WI",Unknown,Data Scientist
"

        Google","San Francisco, CA",Unknown,"Analyst, Applied Data and Machine Learning"
"

        Regions Bank","Lakewood, CO",Unknown,Data Scientist
"

        Accenture","San Francisco, CA",Unknown,SAP Data Integration Consultant - West Region
"

        ATPCO","Dulles, VA",Unknown,Intern - Data Scientist
"

        Belcan","St. Louis, MO",Unknown,Imaging Data Scientist
"

        Opendoor","Los Angeles, CA",Unknown,Data Scientist (Analytics)
"
        Blue Owl","San Francisco, CA","


                            $100,000 - $140,000 a year

",Senior Data Analyst
"

        Wayfair","Boston, MA",Unknown,"Head of Data Science, Search"
"
        Pivotal Consulting","Redmond, WA","


                            $40 an hour

",Data Analyst / Data Applied Scientist
"

        Intermedia Advertising","Los Angeles, CA",Unknown,Data Scientist/Visualization Master
"
        Vanda Pharmaceuticals Inc.","Washington, DC",Unknown,Data Scientist
"
        Duolingo University Programs","Pittsburgh, PA",Unknown,"Data Scientist, Intern (2020)"
"
        Triquetro","Katy, TX",Unknown,Data Scientist/Modeller
"

        NextEra Energy","Juno Beach, FL",Unknown,Data Scientist
"

        AdamsGabbert","Kansas City, MO",Unknown,Data Scientist
"

        Nike","Portland, OR",Unknown,"Sr. Data Scientist, Personalization"
"
Data Xpander","Sunnyvale, CA",Unknown,Data Scientist
"
        Innovizo","Arlington, VA",Unknown,Data Scientist
"
        Metawave Corporation","Palo Alto, CA",Unknown,Sr. Software Engineer (AI)
"

        Deloitte","Washington, DC",Unknown,Senior Data Scientist- Secret Clearance
"
        CereCore","Brentwood, TN",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"
        System1","Venice, CA",Unknown,Data Scientist
"

        Matrix Resources","Alpharetta, GA","


                            $90 an hour

",Data Engineer
"

        The Home Depot","Atlanta, GA",Unknown,Data Scientist
"

        Meduit","Charlotte, NC",Unknown,Data Scientist
"

        Facebook","Seattle, WA",Unknown,"Data Scientist, Analytics - Ads Infrastructure"
"

        Orange County Government, Florida","Orlando, FL","


                            $85,654 - $104,666 a year

",Data Scientist (Database Administrator)
"

        alliantgroup","Houston, TX",Unknown,Data Scientist
"

        Omnicell","Mountain View, CA",Unknown,Data Scientist
"
        aspirent","Atlanta, GA",Unknown,Data Scientist
"

        Mayo Clinic","Rochester, MN",Unknown,Intern - Data Science
"
        2 Partners Marketing LLC","West Palm Beach, FL",Unknown,Data Scientist
"
        FraudScope, Inc.","Atlanta, GA",Unknown,Data Scientist
"

        CGI Group, Inc.","Pittsburgh, PA",Unknown,Big Data Engineer
"

        Takeda Pharmaceuticals","Brooklyn Park, MN",Unknown,Manager Data Analytics
"

        Inspire Brands","Atlanta, GA",Unknown,"Data Science Team Lead, Advanced Analytics"
"

        Slice","San Mateo, CA",Unknown,Data Scientist / Machine Learning Engineer - Classification Science
"

        HP Inc.","Palo Alto, CA",Unknown,Machine Learning Scientist for 3D Printing Research
"

        FairWarning","Clearwater, FL",Unknown,Data Scientist
"

        Genentech","South San Francisco, CA",Unknown,Data Scientist
"
        Rockstar San Diego","Carlsbad, CA",Unknown,Data Scientist
"
        Tropikia Group","New York, NY",Unknown,Data Scientist / Quantitative Analyst
"

        Amazon.com Services, Inc.","Seattle, WA",Unknown,Data Science Intern
"
        Med-South","Birmingham, AL",Unknown,Data Scientist
"

        ExxonMobil","Houston, TX",Unknown,Data Scientist (BS/MS/PhD)
"

        Symphony Health Solutions",United States,Unknown,Senior Data Scientist
